species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,,18.7,181,3750,male
Adelie,Torgersen,,17.4,186,3800,female
Adelie,Torgersen,40.3,18,195,3250,
Adelie,Torgersen,36.7,19.3,193,3450,
Adelie,Torgersen,39.3,20.6,190,3650,male
Adelie,Torgersen,38.9,17.8,181,3625,female
Adelie,Torgersen,39.2,19.6,195,4675,male
Adelie,Biscoe,35.3,18.9,187,3800,female
Adelie,Biscoe,40.6,18.6,183,3550,male
Adelie,Biscoe,40.5,17.9,187,3200,female
Adelie,Biscoe,37.9,18.6,172,3150,female
Adelie,Biscoe,40.5,18.9,180,3950,male
Adelie,Dream,36.5,18,182,3150,female
Adelie,Dream,40.8,18.4,195,3900,male
Adelie,Dream,36,18.5,186,3100,female
Adelie,Dream,44.1,19.7,196,4400,male
Adelie,Dream,37,16.9,185,3000,female
Adelie,Dream,39.6,18.8,190,4600,male
Adelie,Dream,41.1,19,182,3425,male
Adelie,Dream,36,17.9,190,3450,female
Adelie,Dream,42.3,21.2,191,4150,male
Adelie,Biscoe,35.7,16.9,185,3150,female
Adelie,Biscoe,41.3,21.1,195,4400,male
Adelie,Biscoe,37.6,17,185,3600,female
Adelie,Biscoe,41.1,18.2,192,4050,male
Adelie,Biscoe,36.4,17.1,184,2850,female
Adelie,Biscoe,41.6,18,192,3950,male
Adelie,Biscoe,35.5,16.2,195,3350,female
Adelie,Biscoe,41.1,19.1,188,4100,male
Adelie,Torgersen,37.2,19.4,184,3900,male
Adelie,Torgersen,36.2,16.1,187,3550,female
Adelie,Torgersen,42.1,19.1,195,4000,male
Adelie,Torgersen,34.6,17.2,189,3200,female
Adelie,Torgersen,42.9,17.6,196,4700,male
Adelie,Torgersen,36.7,18.8,187,3800,female
Adelie,Torgersen,35.1,19.4,193,4200,male
Adelie,Dream,36.2,17.3,187,3300,female
Adelie,Dream,40.8,18.9,208,4300,male
Adelie,Dream,38.1,18.6,190,3700,female
Adelie,Dream,40.3,18.5,196,4350,male
Adelie,Dream,33.1,16.1,178,2900,female
Adelie,Dream,43.2,18.5,192,4100,male
Adelie,Biscoe,43.2,19,197,4775,male
Adelie,Biscoe,38.1,16.5,198,3825,female
Adelie,Biscoe,45.6,20.3,191,4600,male
Adelie,Biscoe,39.7,17.7,193,3200,female
Adelie,Biscoe,42.2,19.5,197,4275,male
Adelie,Biscoe,39.6,20.7,191,3900,female
Adelie,Biscoe,42.7,18.3,196,4075,male
Adelie,Torgersen,40.6,19,199,4000,male
Adelie,Torgersen,38.8,17.6,191,3275,female
Adelie,Torgersen,41.5,18.3,195,4300,male
Adelie,Torgersen,39,17.1,191,3050,female
Adelie,Torgersen,44.1,18,210,4000,male
Adelie,Torgersen,38.5,17.9,190,3325,female
Adelie,Torgersen,43.1,19.2,197,3500,male
Adelie,Dream,40.7,17,190,3725,male
Adelie,Dream,37.3,16.8,192,3000,female
Adelie,Dream,39,18.7,185,3650,male
Adelie,Dream,39.2,18.6,190,4250,male
Adelie,Dream,36.6,18.4,184,3475,female
Adelie,Dream,36,17.8,195,3450,female
Adelie,Dream,37.8,18.1,193,3750,male
Adelie,Dream,36,17.1,187,3700,female
Adelie,Dream,41.5,18.5,201,4000,male
Gentoo,Biscoe,43.8,13.9,208,4300,female
Gentoo,Biscoe,45.5,15,220,5000,male
Gentoo,Biscoe,43.2,14.5,208,4450,female
Gentoo,Biscoe,50.4,15.3,224,5550,male
Gentoo,Biscoe,45.3,13.8,208,4200,female
Gentoo,Biscoe,46.2,14.9,221,5300,male
Gentoo,Biscoe,45.7,13.9,214,4400,female
Gentoo,Biscoe,54.3,15.7,231,5650,male
Gentoo,Biscoe,45.8,14.2,219,4700,female
Gentoo,Biscoe,49.8,16.8,230,5700,male
Gentoo,Biscoe,49.5,16.2,229,5800,male
Gentoo,Biscoe,43.5,14.2,220,4700,female
Gentoo,Biscoe,50.7,15,223,5550,male
Gentoo,Biscoe,47.7,15,216,4750,female
Gentoo,Biscoe,46.4,15.6,221,5000,male
Gentoo,Biscoe,48.2,15.6,221,5100,male
Gentoo,Biscoe,46.5,14.8,217,5200,female
Gentoo,Biscoe,46.4,15,216,4700,female
Gentoo,Biscoe,48.6,16,230,5800,male
Gentoo,Biscoe,47.5,14.2,209,4600,female
Gentoo,Biscoe,51.1,16.3,220,6000,male
Gentoo,Biscoe,45.2,13.8,215,4750,female
Gentoo,Biscoe,45.2,16.4,223,5950,male
Gentoo,Biscoe,49.1,14.5,212,4625,female
Gentoo,Biscoe,52.5,15.6,221,5450,male
Gentoo,Biscoe,47.4,14.6,212,4725,female
Gentoo,Biscoe,50,15.9,224,5350,male
Gentoo,Biscoe,44.9,13.8,212,4750,female
Gentoo,Biscoe,50.8,17.3,228,5600,male
Gentoo,Biscoe,43.4,14.4,218,4600,female
Gentoo,Biscoe,51.3,14.2,218,5300,male
Gentoo,Biscoe,47.5,14,212,4875,female
Gentoo,Biscoe,52.1,17,230,5550,male
Gentoo,Biscoe,47.5,15,218,4950,female
Gentoo,Biscoe,52.2,17.1,228,5400,male
Gentoo,Biscoe,45.5,14.5,212,4750,female
Gentoo,Biscoe,49.5,16.1,224,5650,male
Gentoo,Biscoe,44.5,14.7,214,4850,female
Gentoo,Biscoe,50.8,15.7,226,5200,male
Gentoo,Biscoe,49.4,15.8,216,4925,male
Gentoo,Biscoe,46.9,14.6,222,4875,female
Gentoo,Biscoe,48.4,14.4,203,4625,female
Gentoo,Biscoe,51.1,16.5,225,5250,male
Gentoo,Biscoe,48.5,15,219,4850,female
Gentoo,Biscoe,55.9,17,228,5600,male
Gentoo,Biscoe,47.2,15.5,215,4975,female
Gentoo,Biscoe,49.1,15,228,5500,male
Gentoo,Biscoe,46.8,16.1,215,5500,male
Gentoo,Biscoe,41.7,14.7,210,4700,female
Gentoo,Biscoe,53.4,15.8,219,5500,male
Gentoo,Biscoe,43.3,14,208,4575,female
Gentoo,Biscoe,48.1,15.1,209,5500,male
Gentoo,Biscoe,50.5,15.2,216,5000,female
Gentoo,Biscoe,49.8,15.9,229,5950,male
Gentoo,Biscoe,43.5,15.2,213,4650,female
Gentoo,Biscoe,51.5,16.3,230,5500,male
Gentoo,Biscoe,46.2,14.1,217,4375,female
Gentoo,Biscoe,55.1,16,230,5850,male
Gentoo,Biscoe,48.8,16.2,222,6000,male
Gentoo,Biscoe,47.2,13.7,214,4925,female
Gentoo,Biscoe,46.8,14.3,215,4850,female
Gentoo,Biscoe,50.4,15.7,222,5750,male
Gentoo,Biscoe,45.2,14.8,212,5200,female
Gentoo,Biscoe,49.9,16.1,213,5400,male
Chinstrap,Dream,42.5,16.7,187,3350,female
Chinstrap,Dream,51,18.8,203,4100,male
Chinstrap,Dream,49.7,18.6,195,3600,male
Chinstrap,Dream,47.5,16.8,199,3900,female
Chinstrap,Dream,47.6,18.3,195,3850,female
Chinstrap,Dream,52,20.7,210,4800,male
Chinstrap,Dream,46.9,16.6,192,2700,female
Chinstrap,Dream,53.5,19.9,205,4500,male
Chinstrap,Dream,49,19.5,210,3950,male
Chinstrap,Dream,46.2,17.5,187,3650,female
Chinstrap,Dream,50.9,19.1,196,3550,male
Chinstrap,Dream,45.5,17,196,3500,female
Chinstrap,Dream,50.9,17.9,196,3675,female
Chinstrap,Dream,50.8,18.5,201,4450,male
Chinstrap,Dream,50.1,17.9,190,3400,female
Chinstrap,Dream,49,19.6,212,4300,male
Chinstrap,Dream,51.5,18.7,187,3250,male
Chinstrap,Dream,49.8,17.3,198,3675,female
Chinstrap,Dream,48.1,16.4,199,3325,female
Chinstrap,Dream,51.4,19,201,3950,male
Chinstrap,Dream,45.7,17.3,193,3600,female
Chinstrap,Dream,50.7,19.7,203,4050,male
Chinstrap,Dream,42.5,17.3,187,3350,female
Chinstrap,Dream,52.2,18.8,197,3450,male
Chinstrap,Dream,45.2,16.6,191,3250,female
Chinstrap,Dream,49.3,19.9,203,4050,male
Chinstrap,Dream,50.2,18.8,202,3800,male
Chinstrap,Dream,45.6,19.4,194,3525,female
Chinstrap,Dream,51.9,19.5,206,3950,male
Chinstrap,Dream,46.8,16.5,189,3650,female
Chinstrap,Dream,45.7,17,195,3650,female
Chinstrap,Dream,55.8,19.8,207,4000,male
Chinstrap,Dream,43.5,18.1,202,3400,female
Chinstrap,Dream,49.6,18.2,193,3775,male
Chinstrap,Dream,50.8,19,210,4100,male
Chinstrap,Dream,50.2,18.7,198,3775,female